id,Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
spmhoi65xf,108,YUC/28-ABR-25/CESO-004,"Envío de base de datos de PSG´s para programar reunión extraordinaria para depuración de la misma, previa revisión y análisis.",MVZ. Francis A. Genovez Chanona,45775,45775,Pendiente,19va Ordinaria
ssmk7kcqjb,103,YUC/18-ENE-25/CESO-009,Aplicar procedimiento SINIIGA en aquellos TIA´s que han sobrepasado el tiempo estipulado para la devolución de documentación y/o aretes no aplicados. (YUC/20-SEPT-24/CESO-004),Uniones,45675,Permanente,Cumplido,18va Ordinaria
sw1cqp7dwq,105,YUC/28-ABR-25/CESO-001,"En caso de que un TIA no regrese los aretes o la documentación dentro del plazo de 15 días naturales autorizados, se le suspenderá en caso de reincidir por 3 (tres) ocasiones, previa revisión y análisis de cada caso (seguimiento YUC/20-SEPT-24/CESO-004)",MVZ. Francis A. Genovez Chanona,45775,Permanente,Pendiente,19va Ordinaria
t43q887pmn,33,CE-YUC-040423-002,Enviar información de listas de PSG a Gobierno del Estado para validación.,Jefes de Ventanilla,45020,45027,Permanente,5ta Ordinaria
tls1l60r5,118,YUC/02-JUL -25/CESO-007,Se enviará al Coordinador Peninsular del SINIIGA el Acta USDA – APHIS para sustento de suspensión de unidad de producción pecuaria por no haber participado en la constatación progresiva de hatos (barrido) de tuberculosis bovina.,Ing. Abigail Estrada Estrada,45840,Semana del 7 al 12 de julio de 2025.,,20va Ordinaria
tpfpbh9e3l,91,YUC/20-SEPT-24/CESO-003,"Se agregará en la dispositiva “Reportes Mensuales de los Servicios del PGN – SINIIGA Atención Upp´s Por Especie.”, la columna de inventario:",MVZ. Francis A. Genovez Chanona,45555,45675,Cumplido,17va Ordinaria
ucrg9ub7vk,77,01/15-FEB-24/CESO-001,Se convocará a la 4ta sesión extraordinaria a celebrarse el 11 de abril de 22 a las 16:00 hrs. para dar seguimiento a los 14 acuerdos pendientes.,Presidencia – Secretario Técnico,45337,45386,Cumplido,15va Ordinaria
ujnfpu32gj,81,Sin Acuerdos,Dar a conocer el estatus de los acuerdos posterior a la reestructura,Todos los integrantes,45400,,Cumplido,4ta Extraordinaria
uwxr0jwb84,72,CE-YUC-180124-008,Presentar propuesta de plan de trabajo para 2024.,MVZ. Alejandra Reyes Saucedo,45309,45329,Cumplido,14va Ordinaria
uxxevnp2qr,90,YUC/20-SEPT-24/CESO-002,"Se consultará al administrador del Sistema REEMO estatal la factibilidad de generar un reporte detallado 
18° Sesión ordinaria Parcialmente Concluido Se aclaró que la información que se requiere es el estado de destino, motivo y número de cabezas.
Se presentó oficio OFP037/2025",MVZ. Francis A. Genovez Chanona,45555,45675,Cumplido,17va Ordinaria
vpm5bdet0k,16,CE-YUC-240123-002,"Proponer reunión entre representantes de CESO entre Campeche, Yucatán y Quintana Roo",MVZ. María del Refugio Medina Juárez,44950,44959,Cumplido,1ra Extraordinaria
vuwhtfm7lx,47,CE-YUC-030823-002,Consulta a SENASICA el tema de la reasignación de identificadores del predio Cuarentenado del productor José Eduardo Andrés Gonzalez.,MVZ. Victor Calderón Jiménez,45507,45180,cumplido,9na Ordinaria
w050zcwrn6,5,CE-YUC-051222-001,"El Centro Operativo Nacional (CON) enviará la base de datos del 56% de las claves de UPP que requieren actualización para este 2023. Dicha base debe contener clave de UPP, Productor, Municipio, Localidad, Inventario y última fecha de actualización.",M.V.Z. Francis A. Genovez Chanona,44900,44903,Cumplido,1ra Ordinaria
w21cpuky2y,31,CE-YUC-020323-008,Propuesta de protocolo de movilización con guía REEMO.,Ing. Gerardo Solis Pasos,44987,45020,Cumplido,4ta Ordinaria
xfz0m5mama,26,CE-YUC-020323-003,Los jefe VAS deberán reportar de manera mensual las actividades operativas realizadas en sus respectivos Espacios de Atención.,MVZ. Francis A. Genovez Chanona,44987,permanente,Permanente,4ta Ordinaria
xqhzqi3vju,24,CE-YUC-020323-001,Modificación de la redacción del orden del día en el punto 10. Simplemente
